[nikhil@arch-nsk 2-Birthday Paradox]$ java VerifyBirthdayParadox
  people        probablity    experimental value
     238          1.000000              1.000000
     239          1.000000              1.000000
     240          1.000000              1.000000
     241          1.000000              1.000000
     242          1.000000              1.000000
     243          1.000000              1.000000
     244          1.000000              1.000000
     245          1.000000              1.000000
     246          1.000000              1.000000
     247          1.000000              1.000000
     248          1.000000              1.000000
     249          1.000000              1.000000
     250          1.000000              1.000000
     251          1.000000              1.000000
     252          1.000000              1.000000
     253          1.000000              1.000000
     254          1.000000              1.000000
     255          1.000000              1.000000
     256          1.000000              1.000000
     257          1.000000              1.000000
     258          1.000000              1.000000
     259          1.000000              1.000000
     260          1.000000              1.000000
     261          1.000000              1.000000
     262          1.000000              1.000000
     263          1.000000              1.000000
     264          1.000000              1.000000
     265          1.000000              1.000000
     266          1.000000              1.000000
     267          1.000000              1.000000
     268          1.000000              1.000000
     269          1.000000              1.000000
     270          1.000000              1.000000
     271          1.000000              1.000000
     272          1.000000              1.000000
     273          1.000000              1.000000
     274          1.000000              1.000000
     275          1.000000              1.000000
     276          1.000000              1.000000
     277          1.000000              1.000000
     278          1.000000              1.000000
     279          1.000000              1.000000
     280          1.000000              1.000000
     281          1.000000              1.000000
     282          1.000000              1.000000
     283          1.000000              1.000000
     284          1.000000              1.000000
     285          1.000000              1.000000
     286          1.000000              1.000000
     287          1.000000              1.000000
     288          1.000000              1.000000
     289          1.000000              1.000000
     290          1.000000              1.000000
     291          1.000000              1.000000
     292          1.000000              1.000000
     293          1.000000              1.000000
     294          1.000000              1.000000
     295          1.000000              1.000000
     296          1.000000              1.000000
     297          1.000000              1.000000
     298          1.000000              1.000000
     299          1.000000              1.000000
     300          1.000000              1.000000
     301          1.000000              1.000000
     302          1.000000              1.000000
     303          1.000000              1.000000
     304          1.000000              1.000000
     305          1.000000              1.000000
     306          1.000000              1.000000
     307          1.000000              1.000000
     308          1.000000              1.000000
     309          1.000000              1.000000
     310          1.000000              1.000000
     311          1.000000              1.000000
     312          1.000000              1.000000
     313          1.000000              1.000000
     314          1.000000              1.000000
     315          1.000000              1.000000
     316          1.000000              1.000000
     317          1.000000              1.000000
     318          1.000000              1.000000
     319          1.000000              1.000000
     320          1.000000              1.000000
     321          1.000000              1.000000
     322          1.000000              1.000000
     323          1.000000              1.000000
     324          1.000000              1.000000
     325          1.000000              1.000000
     326          1.000000              1.000000
     327          1.000000              1.000000
     328          1.000000              1.000000
     329          1.000000              1.000000
     330          1.000000              1.000000
     331          1.000000              1.000000
     332          1.000000              1.000000
     333          1.000000              1.000000
     334          1.000000              1.000000
     335          1.000000              1.000000
     336          1.000000              1.000000
     337          1.000000              1.000000
     338          1.000000              1.000000
     339          1.000000              1.000000
     340          1.000000              1.000000
     341          1.000000              1.000000
     342          1.000000              1.000000
     343          1.000000              1.000000
     344          1.000000              1.000000
     345          1.000000              1.000000
     346          1.000000              1.000000
     347          1.000000              1.000000
     348          1.000000              1.000000
     349          1.000000              1.000000
     350          1.000000              1.000000
     351          1.000000              1.000000
     352          1.000000              1.000000
     353          1.000000              1.000000
     354          1.000000              1.000000
     355          1.000000              1.000000
     356          1.000000              1.000000
     357          1.000000              1.000000
     358          1.000000              1.000000
     359          1.000000              1.000000
     360          1.000000              1.000000
     361          1.000000              1.000000
     362          1.000000              1.000000
     363          1.000000              1.000000
     364          1.000000              1.000000
     365          1.000000              1.000000
[nikhil@arch-nsk 2-Birthday Paradox]$ 
